Residue,d,q,calibration_case,nCal,OOC_ND,OOC_3A,OOC_3B,benchmark_n,mu_0,s_Z,sigma_Z,degrees_of_freedom,chi_square_limit,UCL_S,CL,UCL,W,G,in_C_d,in_D1,in_D2,in_A,in_U,selected,recommended_d,observed_behavior_case,arl_curve_case,selected_case,selection_rule,A_values,U_values,selection_path,recommendation_notes,sigma_1_rho_1p05,sigma_1_rho_1p1,sigma_1_rho_1p2,sigma_1_rho_1p5,sigma_1_rho_2,sigma_1_rho_2p25,S_chart_ARL1_rho_1p05,S_chart_ARL1_rho_1p1,S_chart_ARL1_rho_1p2,S_chart_ARL1_rho_1p5,S_chart_ARL1_rho_2,S_chart_ARL1_rho_2p25,ARL1_rho_1p05,ARL1_rho_1p1,ARL1_rho_1p2,ARL1_rho_1p5,ARL1_rho_2,ARL1_rho_2p25,relative_ARL_ratio_rho_1p05,relative_ARL_ratio_rho_1p1,relative_ARL_ratio_rho_1p2,relative_ARL_ratio_rho_1p5,relative_ARL_ratio_rho_2,relative_ARL_ratio_rho_2p25
DAR,1,26,Case 4,10,0,1,2,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.11975269064722646,0.6525226441370678,8.491398999757877,3.9686094688297637,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,526.3157894736842,425.531914893617,181.81818181818184,68.02721088435375,24.360535931790498,16.35322976287817,1.4908187598460516,2.2739816632458925,2.703021743835158,6.457118375623077,8.491398999757877,7.775903140656619
DAR,2,26,Case 4,20,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.2410141485032523,19.1504270494281,14.541176668230957,1.596728582251722,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,59.1715976331361,41.1522633744856,39.761431411530815,39.761431411530815,39.761431411530815,30.581039755351682,0.16760684282292893,0.21991180693941761,0.5911180751925792,3.774140760304541,13.859718844535223,14.541176668230957
DAR,3,26,Case 5,23,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.3092190748653845,19.099544956921708,12.595933166917941,1.7958321521949643,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,87.33624454148472,64.93506493506493,63.291139240506325,32.733224222585925,30.441400304414007,26.490066225165563,0.24738477237620074,0.3470036953654446,0.9409252905755294,3.1070258632294343,10.611017623746147,12.595933166917941
DAR,4,26,Case 5,33,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.41965732611963713,18.800343145068968,21.133176757828988,3.2340300498027554,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,152.67175572519082,132.4503311258278,111.73184357541899,62.11180124223603,51.81347150259067,44.44444444444444,0.4324512433141218,0.7077956170368009,1.6610748146473036,5.895629821221069,18.060721706738907,21.133176757828988
DAR,5,26,Case 5,41,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.27912127021255,18.642936205936977,36.022460382663056,5.021210325127621,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,217.3913043478261,198.01980198019803,180.18018018018017,90.90909090909092,84.74576271186442,75.75757575757576,0.6157729660233693,1.0581894868569997,2.6786701965933992,8.629058192878112,29.539993977971264,36.022460382663056
DAR,6,26,Case 5,51,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.48697813491165126,18.269860942204442,60.1894274748294,8.950060445289985,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,416.6666666666667,327.86885245901635,322.5806451612903,183.4862385321101,141.84397163120568,126.58227848101265,1.1802315182114578,1.752084232336999,4.795683739062376,17.41644772874481,49.44282680000864,60.1894274748294
DAR,7,26,Case 5,60,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.42198825827149766,17.5787310850267,74.8813349686854,11.450554139465853,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,487.80487804878044,476.1904761904762,476.1904761904762,208.33333333333334,175.43859649122805,157.48031496062993,1.381734460345121,2.544693766013261,7.079342662425413,19.77492502534567,61.15296998948436,74.8813349686854
DAR,8,26,Case 5,63,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.39713915913445846,18.34643179676181,72.04492076532611,9.615277301403333,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,434.7826086956522,322.5806451612903,312.5,200,168.0672268907563,151.51515151515153,1.2315459320467386,1.7238248092347894,4.645818622216677,18.983928024331842,58.5835174689178,72.04492076532611
DAR,9,26,Case 5,73,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.3331133540201977,13.783892844048687,109.30953495428788,11.838148564188867,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,434.7826086956522,392.156862745098,298.5074626865672,285.7142857142857,232.5581395348837,229.8850574712644,1.2315459320467386,2.0956301602462144,4.437796892863692,27.11989717761692,81.06323928838624,109.30953495428788
DAR,10,26,Case 5,83,0,1,0,5,18.922439024390243,7.101128539824539,7.101128539824539,4,17.798186718547473,14.97908404924614,0.47049874738050373,13.497966821297643,72.6191518625127,8.897141147770862,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,13,D1,XO,Case 4,XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26",,Case 4 | D1 | XO | XO case: minimum W over A; minimum G among candidates tied on W; maximum d if a tie remains according to Rule 3,D2 is empty: every candidate d flagged at least one nominal Stage 3A event as OOC. | U is empty: every candidate in A has at least one rho value for which its d-CCSSBU-S ARL1 exceeds the corresponding S-chart ARL1 benchmark.,7.4561849668157665,7.811241393806993,8.521354247789446,10.651692809736808,14.202257079649078,15.977539214605212,353.0380779002498,187.13075913119312,67.26478698621594,10.535227469449868,2.8688483408311294,2.103065003134447,416.6666666666667,363.6363636363637,317.46031746031747,298.5074626865672,208.33333333333334,46.838407494145194,1.1802315182114578,1.9432206940464902,4.719561774950275,28.334220931838573,72.6191518625127,22.27149775415233
